name,mass (g),year,reclat,reclong,color
Jiddat al Harasis 687,0.46,2011,19.508830,55.518050,1
Frontier Mountain 03070,0.46,2004,-72.994530,160.399920,1
Grove Mountains 020359,0.46,2003,-72.983890,75.246390,1
Grove Mountains 020384,0.46,2003,-72.983890,75.246390,1
Grove Mountains 020385,0.46,2003,-72.983890,75.246390,1
Grove Mountains 020386,0.46,2003,-72.983900,75.246400,1
Grove Mountains 020824,0.46,2003,-72.983300,75.249400,1
Grove Mountains 020940,0.46,2003,-72.983890,75.246390,1
Grove Mountains 021204,0.46,2003,-72.983610,75.245830,1
Grove Mountains 021233,0.46,2003,-72.983610,75.245830,1
Grove Mountains 021623,0.46,2003,-72.785560,75.295830,1
Grove Mountains 021846,0.46,2003,-72.778300,75.326900,1
Grove Mountains 021917,0.46,2003,-72.777500,75.333600,1
Grove Mountains 022856,0.46,2003,-72.773610,75.342220,1
Grove Mountains 022955,0.46,2003,-72.774440,75.325280,1
Grove Mountains 023182,0.46,2003,-72.773890,75.339440,1
Grove Mountains 023188,0.46,2003,-72.773890,75.339720,1
Grove Mountains 023250,0.46,2003,-72.773600,75.320000,1
Grove Mountains 023269,0.46,2003,-72.773600,75.320300,1
Grove Mountains 023310,0.46,2003,-72.775000,75.338890,1
Grove Mountains 023550,0.46,2003,-72.983330,75.251390,1
Grove Mountains 023711,0.46,2003,-72.983890,75.250830,1
Grove Mountains 023895,0.46,2003,-72.983610,75.247500,1
Grove Mountains 023899,0.46,2003,-72.982200,75.248900,1
Grove Mountains 020365,0.47,2003,-72.983900,75.246400,1
Grove Mountains 020413,0.47,2003,-72.983890,75.246390,1
Grove Mountains 020619,0.47,2003,-72.983890,75.246390,1
Grove Mountains 020773,0.47,2003,-72.983890,75.250000,1
Grove Mountains 020775,0.47,2003,-72.983890,75.250000,1
Grove Mountains 020826,0.47,2003,-72.983300,75.249400,1
Grove Mountains 020932,0.47,2003,-72.983900,75.246400,1
Grove Mountains 020936,0.47,2003,-72.983890,75.246390,1
Grove Mountains 021923,0.47,2003,-72.777500,75.335280,1
Grove Mountains 021831,0.47,2003,-72.778610,75.330830,1
Grove Mountains 021924,0.47,2003,-72.777500,75.335560,1
Grove Mountains 022310,0.47,2003,-72.778900,75.301400,1
Grove Mountains 022344,0.47,2003,-72.772200,75.338900,1
Grove Mountains 022348,0.47,2003,-72.774440,75.328610,1
Grove Mountains 022583,0.47,2003,-72.773330,75.338330,1
Grove Mountains 022602,0.47,2003,-72.782500,75.281110,1
Grove Mountains 022646,0.47,2003,-72.781940,75.285280,1
Grove Mountains 022718,0.47,2003,-72.779200,75.291900,1
Grove Mountains 022811,0.47,2003,-72.775300,75.330300,1
Grove Mountains 022967,0.47,2003,-72.774170,75.316110,1
Grove Mountains 022986,0.47,2003,-72.773610,75.343610,1
Grove Mountains 023001,0.47,2003,-72.773610,75.346670,1
Grove Mountains 023270,0.47,2003,-72.773610,75.320280,1
Grove Mountains 023542,0.47,2003,-72.983300,75.251400,1
Grove Mountains 023578,0.47,2003,-72.984200,75.246700,1
Grove Mountains 023819,0.47,2003,-72.983610,75.250830,1
Grove Mountains 020266,0.48,2003,-72.983060,75.229170,1
Grove Mountains 020380,0.48,2003,-72.983890,75.246390,1
Grove Mountains 020392,0.48,2003,-72.983890,75.246390,1
